id,tweetText,tweetURL,type,tweetAuthor,handle,geo,mentions,hashtags,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL,videoURL,source_file,combined_timestamp
1,"Scenes from Cleveland, Ohio's Dia de Los Muertos this year. Not bad, considering that I was coming down with the flu as I shot these. One of my favorite local celebrations of the year! #ClevelandOhio #DiaDeLosMuertos https://t.co/bUNqoNfbYG",https://x.com/ExploresMr/status/1853044455596822696,tweet,Mr. P. Explores,@ExploresMr,"The Rust Belt, USA",,"#ClevelandOhio,#DiaDeLosMuertos",2,0,4,34,462,0,2024-11-03 04:00:00,"https://pbs.twimg.com/media/GbbUU4BaAAA90by.jpg,https://pbs.twimg.com/media/GbbUU3-bQAA8S6e.jpg,https://pbs.twimg.com/media/GbbUU37a8AACmbj.jpg,https://pbs.twimg.com/media/GbbUU39aoAAteG3.jpg",,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
2,"@Garolin @RinkGuyD @govt_corrupt Agreed 💯 
Creating a 'bird flu' to destroy local farmers in BC twenty years ago didn't make sense either.
And then the 'swine flu'.
It's all targeted hits to destroy the Farmers and take their land.",https://x.com/CatchlightAnne/status/1853043571319877961,tweet,Anne Pickering,@CatchlightAnne,"Ottawa, Canada","@Garolin,@RinkGuyD,@govt_corrupt",,0,0,0,1,13,0,2024-11-03 03:56:29,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
3,"@nicolasberrod @FLAHAULT Perhaps some of the high vaccine take up could be because older/vulnerable/frontline workers have long been eligible for an annual flu shot so it’s just become an autumn routine. I get both these as a 40 year old asthmatic, this year at a local pharmacy.",https://x.com/Scandiwegians/status/1853000074189590763,tweet,Scandiwegians,@Scandiwegians,"Reigate, Surrey, UK","@nicolasberrod,@FLAHAULT",,0,0,0,0,77,0,2024-11-03 01:03:39,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
4,"@paulistano_sp @dragaoBolado_ @duendedoflu Não. Quando fala tricolor a maioria no país pensa no Flu, exceto no estado de São Paulo. Pq obviamente tem um local que usa esse nome

Tricolor é um termo feito PRO FLUMINENSE. O resto copiou, se um dia o Brasil chamar o SP de Tricolor mais que o Flu, não muda q pertence ao Flu",https://x.com/_Darkness_ins/status/1852953655512645788,tweet,Juann Pires,@_Darkness_ins,"Rio de Janeiro, Brasil","@paulistano_sp,@dragaoBolado_,@duendedoflu",,1,0,0,0,26,0,2024-11-02 22:59:12,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
5,he looks like Jessica Chastain if she was going thru the flu,https://x.com/ayymiPAPITO/status/1852937944707039653,tweet,local cow,@ayymiPAPITO,O.C | Genovia ,,,0,0,0,0,163,0,2024-11-02 21:56:46,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
6,"A particular bird migrates to our shores Oct. and flies thousands of KMs, some die due to the journey. A idiot posted in a local village FB page the birds died due to climate change &amp; to be careful picking up the birds as they could have bird flu 🤡 People believe this shit 🤷‍♀️",https://x.com/Yolvander11/status/1852883389931487303,tweet,Yozzi Vander,@Yolvander11,,,,1,0,0,1,40,0,2024-11-02 18:19:59,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
7,"Night 3 of backyard camping with the kiddos! 🔥⛺️
It was supposed to be prep for a 40 mile hike in Oregon but my oldest came down with the flu so backyard it is and some local hikes with the others https://t.co/Kb87AogJQQ",https://x.com/JoeShakour/status/1852868694025896026,tweet,Joe Shakour,@JoeShakour,"Wilson, NC",,,0,0,0,10,437,0,2024-11-02 17:21:35,"https://pbs.twimg.com/media/Gba2JKiagAAtupb.jpg,https://pbs.twimg.com/media/Gba2JI5aQAAapWw.jpg,https://pbs.twimg.com/media/Gba2JLNbYAAAySl.jpg,https://pbs.twimg.com/media/Gba2JJ5aoAANn7x.jpg",,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
8,"@lsferguson I do remember that San Bernardino, Ca had a serious shortfall of $ and was on the verge of (can’t go bankrupt, right?) collapse before bat or “bird flu”funds. 

Houston, Tx faces the same  today. Short 60 million?
Houston, according to msm local news, has had just two R mayors.",https://x.com/Caliannah/status/1852857809211146646,tweet,Calinia,@Caliannah, NM,@lsferguson,,1,0,1,1,357,0,2024-11-02 16:38:20,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
9,"@PrognosticChats I volunteered today at my local GP surgery. For Covid and Flu Jabs. Only one 😷 ng. I don’t want a medal, I want change.",https://x.com/Starlapps/status/1852782661095637399,tweet,Mary Starling 😷,@Starlapps,,@PrognosticChats,,0,0,0,43,290,0,2024-11-02 11:39:44,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
10,I got my flu jab and Covid-19 shot 💉today! Doing my part to take care of my health and stop the spread of unwanted virus❤️Thanks to our local @ShopprsDrugMart It was quick and painless!,https://x.com/ThelmaSambrook/status/1852766741379600893,tweet,Thelma Sambrook,@ThelmaSambrook,Tweets are mine.,@ShopprsDrugMart,,0,0,0,0,53,0,2024-11-02 10:36:28,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
11,"@cvspharmacy 

walked into my local cvs (on Tanque verde and Sabino in Tucson) to get this year’s flu shot.  You know, with the sign outside that says walk-ins welcome.  No one waiting .  No one really around.  Got turned away because they said no walk-ins today.  So fvck you cvs.  Try getting my business back ever!",https://x.com/simonz21/status/1852757636929970258,tweet,Simon Fried,@simonz21,Take off your rainbow shades,@cvspharmacy,,0,0,0,0,8,0,2024-11-02 10:00:17,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
12,"@DrSuneelDhand Dr. Stone’s OK with Americans- at every age group- remaining fat &amp; sick.  If anyone in the USA has an ailment, Stone knows of a pill or injection to recommend.  On the local Washington DC radio station (WTOP) they’re pushing a new Flu/COVID vaccine to all age groups, in 2 doses.",https://x.com/MisterScottyKay/status/1852756108173025728,tweet,Scott Koenig,@MisterScottyKay,,@DrSuneelDhand,,0,0,0,0,52,0,2024-11-02 09:54:13,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
13,"Flu season is here, and local health experts remind us to get the flu and updated COVID-19 vaccines for optimal protection this season! 🛡️

Stay informed on the latest updates, city events, and more by subscribing to our community newsletter!
🌐 https://t.co/Bb0Ck9CduQ

#BTXRGV https://t.co/IFd2tsuDT3",https://x.com/BTxRGV/status/1852750469233246329,tweet,City of Brownsville,@BTxRGV,"Brownsville, TX",,#BTXRGV,0,0,0,0,83,0,2024-11-02 09:31:48,https://pbs.twimg.com/media/GbZKurgbYAAngJW.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
14,"@Dr_BellaR I have just spent a busy morning in my local GP surgery volunteering for the flu and Covid clinic. It was thoroughly enjoyable, apart from only masker being me among hundreds of patients and a large clinical, nursing and admin team. Lots of hand sanitiser though!",https://x.com/Starlapps/status/1852727667071561821,tweet,Mary Starling 😷,@Starlapps,,@Dr_BellaR,,0,0,0,0,59,0,2024-11-02 08:01:12,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
15,"@sudanalytics_ Los Madridistas está semana :
Goleado de local 

Vinicius, segundon

Florentino P. llorón, mal perdedor 

C. Ronaldo erro el ""Penaldo de la fecha"" y eliminado con Al Nassr

Marcelo se le acabo el reinado;en Flu es uno más y no de los consentidos de R. Madrid",https://x.com/Marioalfonso08/status/1852712677337878682,tweet,Mario AlfonsoSampayo,@Marioalfonso08,"Bogotá, Colombia",@sudanalytics_,,1,0,0,4,2098,0,2024-11-02 07:01:38,,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
16,It isn't too late to get your flu shots for FREE! Be sure to contact your local VA Clinic or visit our website to find specific times and locations. https://t.co/pWOlB9nHwi https://t.co/zmUk9AIOUp,https://x.com/VAIowaCity/status/1852682152112013447,tweet,VAIowaCity,@VAIowaCity,"Iowa City, Iowa",,,0,0,0,0,16,0,2024-11-02 05:00:20,https://pbs.twimg.com/media/GbYMmYgXEAAzSMw.jpg,,TwiBot-undefined-20241103_055535.csv,2024-11-04 06:06:24.793795
